State,District,censuscode,Out_num_ac,Out_amt,NPA_num_ac,NPA_amt,per_NPA_num_ac,per_NPA_amt
Bihar,GOPALGANJ,217,6683.00,3469.41,215.00,84.49,3.22,2.44
Bihar,JAMUI,238,8409.00,4830.19,69.00,19.83,0.82,0.41
Bihar,JEHANABAD,239,6487.00,5172.17,17.00,3.29,0.26,0.06
Bihar,KAIMUR (BHABUA),233,7574.00,6436.45,45.00,6.21,0.59,0.10
Bihar,KATIHAR,212,9415.00,4662.68,367.00,137.52,3.90,2.95
Bihar,KHAGARIA,223,10537.00,7227.23,135.00,51.67,1.28,0.71
Bihar,KISHANGANJ,210,3651.00,1747.70,104.00,64.90,2.85,3.71
Bihar,LAKHISARAI,227,3884.00,2223.64,70.00,92.03,1.80,4.14
Bihar,MADHEPURA,213,9546.00,5558.93,542.00,197.93,5.68,3.56
Bihar,MADHUBANI,207,16624.00,6474.95,1489.00,441.59,8.96,6.82
Bihar,MUNGER,226,7601.00,4439.27,109.00,54.24,1.43,1.22
Bihar,MUZAFFARPUR,216,18584.00,9066.72,1152.00,437.18,6.20,4.82
Bihar,NALANDA,229,19464.00,20062.74,464.00,247.78,2.38,1.24
Bihar,NAWADA,237,12154.00,10280.20,125.00,60.79,1.03,0.59
Bihar,PASHCHIM CHAMPARAN,203,9562.00,3376.31,367.00,115.77,3.84,3.43
Bihar,PATNA,230,18832.00,15402.75,436.00,156.83,2.32,1.02
Bihar,PURBA CHAMPARAN,204,11155.00,6929.31,435.00,160.03,3.90,2.31
Bihar,PURNIA,211,13319.00,9544.44,1140.00,363.90,8.56,3.81
Bihar,ROHTAS,234,13681.00,9611.62,23.00,18.83,0.17,0.20
Bihar,SAHARSA,214,9103.00,3989.66,712.00,270.26,7.82,6.77
Bihar,SAMASTIPUR,221,17633.00,12619.35,69.00,24.46,0.39,0.19
Bihar,SARAN,219,6504.00,3720.01,194.00,71.36,2.98,1.92
Bihar,SHEIKHPURA,228,3066.00,1319.77,21.00,7.51,0.68,0.57
Bihar,SHEOHAR,205,1710.00,1096.63,62.00,28.98,3.63,2.64
Bihar,SITAMARHI,206,9504.00,4130.67,418.00,145.78,4.40,3.53
Bihar,SIWAN,218,5427.00,3676.20,131.00,41.92,2.41,1.14
Bihar,SUPAUL,208,8835.00,4176.49,638.00,225.25,7.22,5.39
Bihar,VAISHALI,220,7177.00,3740.05,236.00,73.91,3.29,1.98
Odisha,ANUGUL,384,5537.00,4501.63,120.00,95.99,2.17,2.13
Odisha,BALANGIR,393,3894.00,4130.55,546.00,515.84,14.02,12.49
Odisha,BALESHWAR,377,12692.00,12618.40,275.00,592.28,2.17,4.69
Odisha,BARGARH,370,3893.00,5434.06,411.00,465.54,10.56,8.57
Odisha,BHADRAK,378,10081.00,8507.26,209.00,373.64,2.07,4.39
Odisha,BOUDH,391,1274.00,1430.45,66.00,40.55,5.18,2.83
Odisha,CUTTACK,381,16550.00,15788.58,557.00,638.28,3.37,4.04
Odisha,DEBAGARH,373,2138.00,1491.22,63.00,50.77,2.95,3.40
Odisha,DHENKANAL,383,5510.00,5620.44,161.00,151.99,2.92,2.70
Odisha,GAJAPATI,389,1490.00,1091.75,73.00,34.94,4.90,3.20
Odisha,GANJAM,388,4731.00,3076.66,137.00,136.87,2.90,4.45
Odisha,JAGATSINGHAPUR,380,7525.00,6029.23,188.00,266.64,2.50,4.42
Odisha,JAJAPUR,382,7809.00,7398.06,224.00,224.03,2.87,3.03
Odisha,JHARSUGUDA,371,1622.00,1468.25,68.00,49.37,4.19,3.36
Odisha,KALAHANDI,395,2532.00,2109.36,541.00,426.58,21.37,20.22
Odisha,KANDHAMAL,390,1868.00,1279.65,173.00,105.98,9.26,8.28
Odisha,KENDRAPARA,379,6117.00,4665.71,193.00,190.76,3.16,4.09
Odisha,KENDUJHAR,375,7219.00,5916.61,166.00,152.71,2.30,2.58
Odisha,KHORDHA,386,9822.00,11041.11,582.00,640.37,5.93,5.80
Odisha,KORAPUT,398,3934.00,4228.39,268.00,241.36,6.81,5.71
Odisha,MALKANGIRI,399,887.00,627.53,91.00,64.31,10.26,10.25
Odisha,MAYURBHANJ,376,17724.00,13245.43,142.00,155.31,0.80,1.17
Odisha,NABARANGAPUR,397,2516.00,2441.02,404.00,322.91,16.06,13.23
Odisha,NAYAGARH,385,6264.00,5387.73,148.00,115.83,2.36,2.15
Odisha,NUAPADA,394,1362.00,1178.05,166.00,175.85,12.19,14.93
Odisha,PURI,387,9728.00,8672.94,463.00,522.06,4.76,6.02
Odisha,RAYAGADA,396,3011.00,2170.60,178.00,148.86,5.91,6.86
Odisha,SAMBALPUR,372,3232.00,2463.26,124.00,71.79,3.84,2.91
Odisha,SUBARNAPUR,392,1665.00,1891.10,166.00,144.08,9.97,7.62
Odisha,SUNDARGARH,374,3916.00,2891.15,126.00,68.99,3.22,2.39
Assam,BAKSA,324,506.00,377.48,4.00,1.96,0.79,0.52
Assam,BARPETA,303,2344.00,1794.91,268.00,75.96,11.43,4.23
Assam,BONGAIGAON,319,1796.00,1362.22,32.00,19.20,1.78,1.41
Assam,CACHAR,316,668.00,423.76,39.00,17.45,5.84,4.12
Assam,CHIRANG,320,1015.00,475.71,7.00,7.84,0.69,1.65
Assam,DARRANG,325,1257.00,1069.07,78.00,41.00,6.21,3.84
Assam,DHEMAJI,308,2467.00,1224.92,31.00,6.82,1.26,0.56
Assam,DHUBRI,301,1096.00,368.26,74.00,9.51,6.75,2.58
Assam,DIBRUGARH,310,1638.00,898.32,61.00,34.73,3.72,3.87
Assam,GOALPARA,302,1200.00,664.78,86.00,56.14,7.17,8.44
Assam,GOLAGHAT,313,1260.00,914.52,9.00,4.50,0.71,0.49
Assam,HAILAKANDI,318,605.00,226.61,24.00,9.49,3.97,4.19
Assam,JORHAT,312,1879.00,1384.42,16.00,10.32,0.85,0.75
Assam,KAMRUP,321,2497.00,1769.04,154.00,115.03,6.17,6.50
Assam,KAMRUP METROPOLITAN,314,464.00,372.05,1.00,0.81,0.22,0.22
Assam,KARBI ANGLONG,314,33.00,26.58,3.00,0.70,9.09,2.63
Assam,KARIMGANJ,317,416.00,170.39,38.00,16.73,9.13,9.82
Assam,KOKRAJHAR,300,523.00,390.08,10.00,9.28,1.91,2.38
Assam,LAKHIMPUR,307,2111.00,1207.17,29.00,17.30,1.37,1.43
Assam,MORIGAON,304,2500.00,1473.81,215.00,189.26,8.60,12.84
Assam,NAGAON,305,4292.00,1949.62,154.00,117.78,3.59,6.04
Assam,NALBARI,323,2525.00,2629.10,60.00,21.03,2.38,0.80
Assam,SIVASAGAR,311,1042.00,561.34,11.00,10.04,1.06,1.79
Assam,SONITPUR,306,3803.00,3669.78,70.00,34.91,1.84,0.95
Assam,TINSUKIA,309,2268.00,1270.41,125.00,60.48,5.51,4.76
Assam,UDALGURI,326,983.00,856.39,27.00,18.03,2.75,2.11
Gujarat,AHMADABAD,474,1344.00,935.74,187.00,56.16,13.91,6.00
Gujarat,AMRELI,480,644.00,314.90,77.00,34.96,11.96,11.10
Gujarat,ANAND,482,1391.00,733.60,285.00,105.65,20.49,14.40
Gujarat,BANAS KANTHA,469,916.00,309.52,100.00,25.31,10.92,8.18
Gujarat,BHARUCH,488,442.00,239.03,28.00,17.92,6.33,7.50
Gujarat,BHAVNAGAR,481,624.00,257.65,58.00,25.73,9.29,9.99
Gujarat,DOHAD,485,794.00,333.56,211.00,89.23,26.57,26.75
Gujarat,GANDHINAGAR,473,1506.00,623.17,193.00,90.95,12.82,14.59
Gujarat,JAMNAGAR,477,880.00,585.06,60.00,30.07,6.82,5.14
Gujarat,JUNAGADH,479,976.00,510.27,116.00,48.38,11.89,9.48
Gujarat,KACHCHH,468,1105.00,389.62,299.00,167.25,27.06,42.93
Gujarat,KHEDA,483,1943.00,1020.07,379.00,117.16,19.51,11.49
Gujarat,MAHESANA,471,3067.00,762.64,194.00,60.78,6.33,7.97
Gujarat,NARMADA,487,397.00,151.32,22.00,6.43,5.54,4.25
Gujarat,NAVSARI,490,1515.00,964.52,40.00,25.56,2.64,2.65
Gujarat,PANCH MAHALS,484,825.00,429.97,255.00,88.43,30.91,20.57
Gujarat,PATAN,470,1414.00,386.72,96.00,17.28,6.79,4.47
Gujarat,PORBANDAR,478,437.00,166.46,85.00,33.81,19.45,20.31
Gujarat,RAJKOT,476,928.00,539.39,63.00,29.63,6.79,5.49
Gujarat,SABAR KANTHA,472,2331.00,667.93,313.00,95.69,13.43,14.33
Gujarat,SURAT,492,2863.00,3011.94,208.00,107.70,7.27,3.58
Gujarat,SURENDRANAGAR,475,654.00,468.63,171.00,159.36,26.15,34.01
Gujarat,TAPI,493,1164.00,567.36,12.00,8.15,1.03,1.44
Gujarat,VADODARA,486,1756.00,1071.91,298.00,127.32,16.97,11.88
Gujarat,VALSAD,491,1626.00,1001.30,100.00,56.84,6.15,5.68
Jammu & Kashmir,ANANTNAG,14,587.00,187.90,3.00,0.55,0.51,0.29
Jammu & Kashmir,BANDIPORA,9,157.00,78.68,0.00,0.00,0.00,0.00
Jammu & Kashmir,BARAMULLA,8,453.00,175.11,1.00,0.09,0.22,0.05
Jammu & Kashmir,BUDGAM,2,805.00,451.87,12.00,2.62,1.49,0.58
Jammu & Kashmir,DODA,16,984.00,512.23,22.00,6.32,2.24,1.23
Jammu & Kashmir,GANDERBAL,11,409.00,369.30,0.00,0.00,0.00,0.00
Jammu & Kashmir,JAMMU,21,1762.00,806.45,6.00,10.02,0.34,1.24
Jammu & Kashmir,KATHUA,7,1080.00,602.63,7.00,5.53,0.65,0.92
Jammu & Kashmir,KUPWARA,1,402.00,165.61,32.00,10.92,7.96,6.59
Jammu & Kashmir,POONCH,5,6.00,2.96,2.00,0.86,33.33,29.05
Jammu & Kashmir,PULWAMA,12,5.00,1.47,3.00,1.13,60.00,77.00
Jammu & Kashmir,RAJOURI,6,528.00,227.57,0.00,0.00,0.00,0.00
Jammu & Kashmir,REASI,20,20.00,2.77,2.00,0.34,10.00,12.29
Jammu & Kashmir,SAMBA,22,664.00,471.30,0.00,0.00,0.00,0.00
Jammu & Kashmir,SRINAGAR,10,3.00,7.05,2.00,5.10,66.67,72.32
Jammu & Kashmir,UDHAMPUR,19,1010.00,899.46,27.00,57.13,2.67,6.35
Karnataka,BAGALKOT,556,11434.00,11636.43,362.00,522.19,3.17,4.49
Karnataka,BANGALORE RURAL,583,12531.00,24778.21,164.00,297.31,1.31,1.20
Karnataka,BELGAUM,555,41169.00,58273.32,860.00,951.82,2.09,1.63
Karnataka,BELLARY,565,20191.00,29076.79,383.00,341.51,1.90,1.17
Karnataka,BIDAR,558,20762.00,12242.46,148.00,149.37,0.71,1.22
Karnataka,BIJAPUR,557,10270.00,7464.96,233.00,277.71,2.27,3.72
Karnataka,CHAMARAJANAGAR,578,15645.00,31241.58,342.00,564.09,2.19,1.81
Karnataka,CHIKKABALLAPURA,582,2237.00,2673.19,57.00,76.07,2.55,2.85
Karnataka,CHIKMAGALUR,570,11033.00,33040.78,142.00,134.93,1.29,0.41
Karnataka,CHITRADURGA,566,19342.00,32444.57,217.00,171.96,1.12,0.53
Karnataka,DAKSHINA KANNADA,575,21396.00,80905.62,131.00,172.80,0.61,0.21
Karnataka,DAVANAGERE,567,27037.00,39896.52,475.00,700.91,1.76,1.76
Karnataka,DHARWAD,562,14845.00,26215.20,573.00,734.49,3.86,2.80
Karnataka,GADAG,561,9415.00,9711.19,351.00,363.81,3.73,3.75
Karnataka,GULBARGA,579,10387.00,7250.57,255.00,272.30,2.45,3.76
Karnataka,HASSAN,574,26490.00,51025.23,763.00,1136.95,2.88,2.23
Karnataka,HAVERI,564,13283.00,22368.10,965.00,1657.67,7.26,7.41
Karnataka,KODAGU,576,5562.00,21452.53,53.00,109.68,0.95,0.51
Karnataka,KOLAR,581,17308.00,35918.44,702.00,1135.92,4.06,3.16
Karnataka,KOPPAL,560,18751.00,14583.08,267.00,195.58,1.42,1.34
Karnataka,MANDYA,573,24566.00,42738.22,359.00,594.25,1.46,1.39
Karnataka,MYSORE,577,27293.00,51230.39,1044.00,1887.46,3.83,3.68
Karnataka,RAICHUR,559,14691.00,19418.10,438.00,226.72,2.98,1.17
Karnataka,RAMANAGARA,584,13869.00,28039.02,445.00,736.54,3.21,2.63
Karnataka,SHIMOGA,568,23186.00,68411.69,487.00,780.79,2.10,1.14
Karnataka,TUMKUR,571,36377.00,55331.49,1645.00,2292.18,4.52,4.14
Karnataka,UDUPI,569,12230.00,40497.97,120.00,206.53,0.98,0.51
Karnataka,UTTARA KANNADA,563,19643.00,43655.90,316.00,353.92,1.61,0.81
Karnataka,YADGIR,580,788.00,309.55,14.00,14.33,1.78,4.63
Rajasthan,AJMER,119,3975.00,5438.17,74.00,77.34,1.86,1.42
Rajasthan,ALWAR,104,4328.00,3854.15,186.00,109.97,4.30,2.85
Rajasthan,BANSWARA,125,2503.00,1103.44,419.00,186.25,16.74,16.88
Rajasthan,BARAN,128,1946.00,706.76,117.00,38.70,6.01,5.48
Rajasthan,BARMER,115,1105.00,322.08,408.00,124.78,36.92,38.74
Rajasthan,BHARATPUR,105,492.00,180.35,101.00,41.92,20.53,23.24
Rajasthan,BHILWARA,122,2473.00,1818.27,208.00,261.66,8.41,14.39
Rajasthan,BIKANER,101,1421.00,647.25,127.00,86.20,8.94,13.32
Rajasthan,BUNDI,121,1406.00,724.43,28.00,12.19,1.99,1.68
Rajasthan,CHITTORGARH,126,1786.00,1197.05,103.00,43.70,5.77,3.65
Rajasthan,CHURU,102,2052.00,1097.83,245.00,73.00,11.94,6.65
Rajasthan,DAUSA,109,1071.00,741.98,62.00,34.64,5.79,4.67
Rajasthan,DHOLPUR,106,1262.00,387.15,147.00,70.88,11.65,18.31
Rajasthan,DUNGARPUR,124,3484.00,1650.50,442.00,255.13,12.69,15.46
Rajasthan,HANUMANGARH,100,607.00,218.50,142.00,53.62,23.39,24.54
Rajasthan,JAIPUR,110,1258.00,1023.95,142.00,121.28,11.29,11.84
Rajasthan,JAISALMER,114,305.00,70.79,52.00,15.48,17.05,21.87
Rajasthan,JALOR,116,322.00,150.93,74.00,20.81,22.98,13.79
Rajasthan,JHALAWAR,129,2249.00,1010.64,126.00,48.52,5.60,4.80
Rajasthan,JHUNJHUNU,103,2103.00,999.34,172.00,36.04,8.18,3.61
